"","year","county","use_type","use_acre_ft"
"385",1984,"DONLEY","irrigation",6715
"386",1984,"DONLEY","livestock",67
"387",1984,"DONLEY","manufacturing",21
"388",1984,"DONLEY","mining",24
"389",1984,"DONLEY","municipal",752
"390",1984,"DONLEY","steam_electric_power",0
"391",1984,"DUVAL","irrigation",2517
"392",1984,"DUVAL","livestock",129
"393",1984,"DUVAL","manufacturing",0
"394",1984,"DUVAL","mining",1487
"395",1984,"DUVAL","municipal",2160
"396",1984,"DUVAL","steam_electric_power",0
"397",1984,"EASTLAND","irrigation",9301
"398",1984,"EASTLAND","livestock",103
"399",1984,"EASTLAND","manufacturing",0
"400",1984,"EASTLAND","mining",353
"401",1984,"EASTLAND","municipal",457
"402",1984,"EASTLAND","steam_electric_power",0
"403",1984,"ECTOR","irrigation",3656
"404",1984,"ECTOR","livestock",292
"405",1984,"ECTOR","manufacturing",1172
"406",1984,"ECTOR","mining",6257
"407",1984,"ECTOR","municipal",3672
"408",1984,"ECTOR","steam_electric_power",0
"409",1984,"EDWARDS","irrigation",0
"410",1984,"EDWARDS","livestock",409
"411",1984,"EDWARDS","manufacturing",2
"412",1984,"EDWARDS","mining",11
"413",1984,"EDWARDS","municipal",387
"414",1984,"EDWARDS","steam_electric_power",0
"415",1984,"EL PASO","irrigation",2422
"416",1984,"EL PASO","livestock",656
"417",1984,"EL PASO","manufacturing",6577
"418",1984,"EL PASO","mining",176
"419",1984,"EL PASO","municipal",93335
"420",1984,"EL PASO","steam_electric_power",5052
"421",1984,"ELLIS","irrigation",0
"422",1984,"ELLIS","livestock",101
"423",1984,"ELLIS","manufacturing",2665
"424",1984,"ELLIS","mining",87
"425",1984,"ELLIS","municipal",4902
"426",1984,"ELLIS","steam_electric_power",0
"427",1984,"ERATH","irrigation",10539
"428",1984,"ERATH","livestock",1304
"429",1984,"ERATH","manufacturing",10
"430",1984,"ERATH","mining",0
"431",1984,"ERATH","municipal",3769
"432",1984,"ERATH","steam_electric_power",0
