"","county","gallons_from_groundwater","year"
"304","Menominee",74204609,2015
"305","Midland",150527229,2015
"306","Missaukee",10976262375,2015
"307","Monroe",570152133,2015
"308","Montcalm",13490351313,2015
"309","Montmorency",844860850,2015
"310","Muskegon",1570957575,2015
"311","Newaygo",3377881302,2015
"312","Oakland",8515904424,2015
"313","Oceana",2059909841,2015
"314","Ogemaw",208720078,2015
"315","Ontonagon",373773027,2015
"316","Osceola",718423866,2015
"317","Oscoda",62328336,2015
"318","Otsego",1226572482,2015
"319","Ottawa",2427817993,2015
"320","Presque Isle",229202955,2015
"321","Roscommon",180492343,2015
"322","Saginaw",690201250,2015
"323","Saint Clair",630243656,2015
"324","Saint Joseph",16723434341,2015
"325","Sanilac",2231464241,2015
"326","Schoolcraft",25136203,2015
"327","Shiawassee",1146490489,2015
"328","Tuscola",1459917058,2015
"329","Van Buren",7222262275,2015
"330","Washtenaw",3858513171,2015
"331","Wayne",148515687,2015
"332","Wexford",1894875117,2015
"333","Alcona",2666085962,2014
"334","Alger",1608226431,2014
"335","Allegan",5552539983,2014
"336","Alpena",10948600250,2014
"337","Antrim",12214548686,2014
"338","Arenac",7009981841,2014
"339","Baraga",4530051118,2014
"340","Barry",4867352970,2014
"341","Bay",2668039447,2014
"342","Benzie",2903814329,2014
"343","Berrien",6697231285,2014
"344","Branch",7276299125,2014
"345","Calhoun",5413480114,2014
"346","Cass",12927703224,2014
"347","Charlevoix",6024262701,2014
"348","Cheboygan",1356238077,2014
"349","Chippewa",1315235056,2014
"350","Clare",1434108728,2014
"351","Clinton",2007141003,2014
"352","Crawford",1271809847,2014
"353","Delta",1178098868,2014
"354","Dickinson",1138390800,2014
"355","Eaton",1133644506,2014
"356","Emmet",4657611545,2014
"357","Genesee",1133730812,2014
"358","Gladwin",838037875,2014
"359","Gogebic",860425899,2014
"360","Grand Traverse",1493029784,2014
"361","Gratiot",2713614158,2014
"362","Hillsdale",3245685049,2014
"363","Houghton",701550254,2014
"364","Huron",803534645,2014
"365","Ingham",945870565,2014
"366","Ionia",1333884993,2014
"367","Iosco",660089290,2014
"368","Iron",603650296,2014
"369","Isabella",2641667749,2014
"370","Jackson",3504330356,2014
"371","Kalamazoo",13388316291,2014
"372","Kalkaska",1803857385,2014
"373","Kent",2209591854,2014
"374","Keweenaw",442072152,2014
"375","Lake",409700852,2014
"376","Lapeer",565941103,2014
"377","Leelanau",1242956454,2014
"378","Lenawee",877261048,2014
"379","Livingston",896397997,2014
"380","Luce",870578048,2014
"381","Mackinac",318588974,2014
"382","Macomb",331269890,2014
"383","Manistee",886993290,2014
"384","Marquette",637485089,2014
"385","Mason",857068834,2014
"386","Mecosta",3455434960,2014
"387","Menominee",179419774,2014
"388","Midland",282357470,2014
"389","Missaukee",2837905976,2014
"390","Monroe",9834609096,2014
"391","Montcalm",11015395868,2014
"392","Montmorency",157559194,2014
"393","Muskegon",1961642820,2014
