County,Gallons from Great Lakes,Gallons from Groundwater,Gallons from Inland Surface,Total Gallons All Sources,Year
Huron,"8,319,086,512","314,408,768","488,973,857","9,122,469,137",2013
Ingham,0,"11,788,116,885","27,364,552,161","39,152,669,046",2013
Ionia,0,"2,901,312,371","289,489,255","3,190,801,626",2013
Iosco,"407,644,170","78,245,506","72,272,706","558,162,382",2013
Iron,0,"519,343,400","12,879,250","532,222,650",2013
Isabella,0,"2,666,667,493","1,107,349,609","3,774,017,102",2013
Jackson,0,"7,056,715,008","1,019,469,731","8,076,184,739",2013
Kalamazoo,0,"22,352,859,388","2,458,824,828","24,811,684,216",2013
Kalkaska,0,"2,127,302,254","660,744,708","2,788,046,962",2013
Kent,"25,495,033,000","5,151,581,453","1,173,030,974","31,819,645,427",2013
Keweenaw,"2,811,427","16,583,627",0,"19,395,054",2013
Lake,0,"115,640,820",0,"115,640,820",2013
Lapeer,0,"569,160,544","93,032,020","662,192,564",2013
Leelanau,"5,875,008","1,052,934,945","62,462,029","1,121,271,982",2013
Lenawee,0,"2,152,298,833","1,525,748,336","3,678,047,169",2013
Livingston,0,"2,913,282,233","1,034,512,298","3,947,794,531",2013
Luce,0,"603,303,740",0,"603,303,740",2013
Mackinac,"424,135,000","95,212,675","7,195,000","526,542,675",2013
Macomb,"1,089,253,908","542,999,689","690,308,436","2,322,562,033",2013
Manistee,0,"1,328,024,844","10,605,844,062","11,933,868,906",2013
Marquette,"72,028,272,500","1,496,167,883","11,075,841,791","84,600,282,174",2013
Mason,"622,111,000","1,044,826,357","8,284,282,780","9,951,220,137",2013
Mecosta,0,"4,718,485,522","306,036,342","5,024,521,864",2013
Menominee,"352,200,000","57,404,850","615,890,000","1,025,494,850",2013
Midland,0,"194,992,354","1,451,577,336","1,646,569,690",2013
Missaukee,0,"2,913,003,913","100,466,944","3,013,470,857",2013
Monroe,"642,434,212,935","8,949,666,086","227,126,301","651,611,005,322",2013
Montcalm,0,"15,322,070,968","5,977,151,908","21,299,222,876",2013
Montmorency,0,"79,905,467","69,151,600","149,057,067",2013
Muskegon,"4,672,666,000","2,801,896,726","91,933,705,657","99,408,268,383",2013
Newaygo,0,"2,463,580,837","350,313,397","2,813,894,234",2013
Oakland,0,"9,181,829,539","2,954,850,633","12,136,680,172",2013
Oceana,0,"2,770,289,054","406,558,180","3,176,847,234",2013
Ogemaw,0,"207,847,970","41,636,520","249,484,490",2013
Ontonagon,"690,040,000","29,364,500",0,"719,404,500",2013
Osceola,0,"1,335,108,881","156,265,100","1,491,373,981",2013
Oscoda,0,"61,311,005","76,700,000","138,011,005",2013
Otsego,0,"1,481,868,062",0,"1,481,868,062",2013
Ottawa,"258,160,450,264","3,342,317,638","18,707,264,623","280,210,032,525",2013
Presque Isle,"2,615,700,000","7,190,921,960","9,245,560,074","19,052,182,034",2013
Roscommon,0,"157,017,427","9,485,570","166,502,997",2013
Saginaw,0,"824,685,285","185,866,680","1,010,551,965",2013
Saint Clair,"515,713,158,494","183,430,124","75,602,867","515,972,191,485",2013
